event.tag.report tag_id=0x35E0170044CF0D590000F634, type=ISOC, antenna=1, rssi=1856, time=2010-05-01T03:17:25.672
event.tag.report tag_id=0x35E0170044CF0D590000F658, type=ISOC, antenna=1, rssi=920, time=2010-05-01T03:17:25.676
event.tag.report tag_id=0x35E0170044CF0D590000F61C, type=ISOC, antenna=1, rssi=325, time=2010-05-01T03:17:25.685
event.tag.report tag_id=0x35E0170044CF0D590000F573, type=ISOC, antenna=1, rssi=755, time=2010-05-01T03:17:25.692
event.tag.report tag_id=0x35E0170044CF0D590000F551, type=ISOC, antenna=1, rssi=602, time=2010-05-01T03:17:25.695
event.tag.report tag_id=0x35E0170044CF0D590000F63F, type=ISOC, antenna=1, rssi=343, time=2010-05-01T03:17:25.700
event.tag.report tag_id=0x35E0170044CF0D590000F5AE, type=ISOC, antenna=1, rssi=3453, time=2010-05-01T03:17:25.703
event.tag.report tag_id=0x35E0170044CF0D590000F627, type=ISOC, antenna=1, rssi=1599, time=2010-05-01T03:17:25.707
event.tag.report tag_id=0x35E0170044CF0D590000F5B1, type=ISOC, antenna=1, rssi=1104, time=2010-05-01T03:17:25.718
event.tag.report tag_id=0x35E0170044CF0D590000F641, type=ISOC, antenna=1, rssi=1036, time=2010-05-01T03:17:25.732
event.tag.report tag_id=0x35E0170044CF0D590000F55B, type=ISOC, antenna=1, rssi=844, time=2010-05-01T03:17:25.737
event.tag.report tag_id=0x35E0170044CF0D590000F57F, type=ISOC, antenna=1, rssi=1049, time=2010-05-01T03:17:25.742
event.tag.report tag_id=0x35E0170044CF0D590000F64C, type=ISOC, antenna=1, rssi=392, time=2010-05-01T03:17:25.754
event.tag.report tag_id=0x35E0170044CF0D590000F575, type=ISOC, antenna=1, rssi=842, time=2010-05-01T03:17:25.770
event.tag.report tag_id=0x35E0170044CF0D590000F550, type=ISOC, antenna=1, rssi=388, time=2010-05-01T03:17:25.773
event.tag.report tag_id=0x35E0170044CF0D590000F5BD, type=ISOC, antenna=1, rssi=233, time=2010-05-01T03:17:25.779
event.tag.report tag_id=0x35E0170044CF0D590000F61D, type=ISOC, antenna=1, rssi=642, time=2010-05-01T03:17:25.782
event.tag.report tag_id=0x35E0170044CF0D590000F64B, type=ISOC, antenna=1, rssi=1399, time=2010-05-01T03:17:25.788
event.tag.report tag_id=0x35E0170044CF0D590000F55A, type=ISOC, antenna=1, rssi=475, time=2010-05-01T03:17:25.791
